id,site,plotnum,type,season,lat,long,shan,simp,SAVE4,UNK_CRYPTANTHA,ALDE,HAGL,SUMO,SATR12,DEPI,BRTE,MEAL6,CACL4,PSPO,UNK_CHENOPODIUM,ZEMA,BASC5,UNK_POACEAE10,MESA,TEOF,ALCE,UNK_ERIOGONUM,UNK_DEAD,CABU2,LASE,ATCO,ERCI6,UNK_EQUISETUM,UNK_FORB1,MAPA5,UNK_FORB2,COAR4,DISP,HOMU,DAGL,PLLA,UNK_SALSOLA,LEPI,UNK_POACEAE8,ACRE3,BRCA6,UNK_TYPHA,HOJU,CAPU6,ERCE6,JUBA,ASFA,UNK_PLANT2,MIGR,SECE,IVAX,SCAR7,POPR,ARDO3,EQAR4,EPBR3,SIAL2,ATCA2,ACHY,ATCA,ARTR2,SAEX,AMTE3,BAHY,UNK_POACEAE3,UNK_PLANT1,TRAE,THPO7,UNK_POACEAE2,XAST,ATTR,POOL,UNK_POACEAE11,ERNA10,LELA2,ASSP,UNK_FORB5,DAST,AMRE,HEAN3,ECCR,CHAT,MEOF,CHAL7,TACA8,CUAP2,UNK_FORB3,POAV,UNK_POACEAE1,ERCO8,CHVI4,ERPE,RUST4,UNK_FORB4,UNK_POACEAE9,CIIN,SEPU8,ELEL5,CUPE3,UNK_POACEAE4,SACU,PACA6,UNK_SETARIA,TECA2,ERBR7,ATTO,UNK_WHEAT,AVSA,UNK_POACEAE7,AMAC2,TRTE,POLA4,TAOF,VEAN2,ARLU,BIFR,EQLA,MEAR4,JUEN,ALAR,EUOC4,LOPE,UNK_POACEAE6,UNK_POACEAE5,rich,field_id,K3LSfall,K3LSspring,K3LSsummer,K3NAIP,K3sentFall,K3sentSpring,K3sentSummer,K5LSfall,K5LSspring,K5LSsummer,K5NAIP,K5sentFall,K5sentSpring,K5sentSummer,XLSfall,XLSspring,XLSsummer,XNAIP,XsentFall,XsentSpring,XsentSummer
Yerington30Spring,Yerington,30,Random,Spring,39.11222001,-119.2451512,0.806504609875222,0.3656509695290858,0,1,0,0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Yerington 1,2,0,1,1,2,2,0,2,2,3,2,4,2,1,2,3,5,3,0,1,5
Yerington19Spring,Yerington,19,Random,Spring,39.09917865,-119.2288127,0.4258484492385814,0.20370370370370372,0,0,0,0,0,0,0,0,0,0,0,5,80,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yerington 2,1,1,0,0,0,1,1,0,0,0,3,0,0,0,4,6,3,5,5,5,4
Yerington17Spring,Yerington,17,Random,Spring,39.09884652,-119.2272276,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yerington 2,0,0,1,1,2,2,2,2,2,3,4,4,3,3,2,3,2,4,1,2,0
Yerington20Spring,Yerington,20,Random,Spring,39.09920316,-119.2261085,1.14370838942625,0.6388888888888888,0,0,0,0,0,0,0,0,0,0,0,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Yerington 2,1,1,0,0,0,1,1,1,0,1,3,0,0,0,6,6,4,5,5,5,4
Yerington22Spring,Yerington,22,Random,Spring,39.10168931,-119.2235158,0.11472845580182224,0.04059942608141143,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yerington 2,1,1,0,0,0,0,1,1,0,0,3,0,4,4,6,6,3,5,5,6,3
Yerington15Spring,Yerington,15,Random,Spring,39.0983946,-119.2189319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yerington 2,0,0,1,0,2,2,0,2,2,4,3,4,2,0,2,2,6,5,0,1,4
Yerington11Spring,Yerington,11,Random,Spring,39.09665006,-119.2165688,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yerington 2,0,0,0,0,1,2,1,2,2,0,3,3,2,4,2,3,3,5,4,1,3
Yerington10Spring,Yerington,10,Random,Spring,39.09492704,-119.2166533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yerington 2,0,2,0,0,1,2,1,2,3,0,3,4,2,0,2,2,3,5,4,1,4
Yerington12Spring,Yerington,12,Random,Spring,39.09697542,-119.2281252,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yerington 2,1,0,0,0,0,0,1,0,4,0,3,0,4,0,4,4,3,5,5,6,4
Yerington2Spring,Yerington,2,Random,Spring,39.09025421,-119.2220812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yerington 2,2,2,0,0,1,2,1,2,3,0,3,1,3,0,1,2,3,5,4,2,4
Yerington3Spring,Yerington,3,Random,Spring,39.09059414,-119.2187572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yerington 2,2,0,1,0,2,2,0,2,2,4,3,4,3,0,1,3,6,5,0,2,4
Yerington4Spring,Yerington,4,Random,Spring,39.09157291,-119.2214401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yerington 2,2,2,1,0,1,2,0,2,3,3,3,3,3,0,1,2,2,5,4,3,4
Yerington6Spring,Yerington,6,Random,Spring,39.09286972,-119.2228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yerington 2,2,2,1,0,1,2,1,2,2,4,3,3,3,0,1,2,6,5,4,2,4
Yerington27Spring,Yerington,27,Random,Spring,39.10626713,-119.2476642,0.6931471805599453,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Yerington 1,0,0,1,2,1,2,0,2,2,3,2,4,2,1,2,3,5,1,0,1,5
Yerington32Spring,Yerington,32,Random,Spring,39.11263181,-119.2418129,0.6816102690529531,0.29861111111111105,20,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Yerington 1,2,2,1,2,2,2,0,2,2,3,2,4,2,1,2,2,5,3,0,1,5
Yerington33Spring,Yerington,33,Random,Spring,39.11375595,-119.2382649,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yerington 1,0,0,1,0,1,2,0,4,2,3,3,3,2,1,2,3,5,5,4,1,5
Yerington35Spring,Yerington,35,Random,Spring,39.11482267,-119.2380511,0.6931471805599453,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Yerington 1,0,0,1,2,1,2,0,4,2,3,1,4,2,1,2,3,5,0,0,2,5
Yerington36Spring,Yerington,36,Random,Spring,39.11482891,-119.2368352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yerington 1,2,0,1,0,2,2,0,2,2,3,3,4,2,1,2,3,5,0,0,2,5
Yerington34Spring,Yerington,34,Random,Spring,39.11396851,-119.2308023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yerington 1,0,0,1,0,1,2,0,4,2,4,3,3,2,1,3,3,6,5,3,1,5
Yerington31Spring,Yerington,31,Random,Spring,39.11241035,-119.2264002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yerington 1,0,0,1,1,1,2,0,4,4,4,4,3,2,1,3,4,6,2,3,1,5
Yerington29Spring,Yerington,29,Random,Spring,39.10984641,-119.2299693,0.30472286951738986,0.12995001922337557,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Yerington 1,0,1,1,2,2,1,0,4,1,4,1,4,0,1,2,5,6,0,0,5,0
Yerington26Spring,Yerington,26,Random,Spring,39.10511484,-119.2332177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yerington 1,0,0,0,0,1,2,1,4,2,0,3,4,2,0,3,3,3,5,0,1,4
Yerington24Spring,Yerington,24,Random,Spring,39.10283972,-119.2376372,0.44375728426014843,0.2145328719723184,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yerington 3,0,0,1,2,1,2,0,2,2,3,2,3,2,1,2,3,5,1,0,2,5
Yerington23Spring,Yerington,23,Random,Spring,39.10193649,-119.2355573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yerington 3,0,0,0,0,1,2,1,4,2,0,3,3,2,4,3,3,3,5,3,1,3
Yerington18Spring,Yerington,18,Random,Spring,39.09896713,-119.2326595,0.796311640173813,0.44897959183673464,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yerington 3,0,0,1,0,1,0,0,4,2,4,1,4,2,1,3,3,6,0,0,0,5
