Vial,Site,Field,Plot,Treatment,Season,Taxa,Density
YF2P2,Yerington,2,2,Pre-,Spring,Nabis,2
YF2P2,Yerington,2,2,Pre-,Spring,Geocoris,7
YF2P2,Yerington,2,2,Pre-,Spring,Anthocoridae,14
YF2P2,Yerington,2,2,Pre-,Spring,Coccinellidae,6
YF2P2,Yerington,2,2,Pre-,Spring,Ichneumonidae,77
YF2P2,Yerington,2,2,Pre-,Spring,Acyrthosiphon,20
YF2P2,Yerington,2,2,Pre-,Spring,Aphis,0
YF2P2,Yerington,2,2,Pre-,Spring,Therioaphis,0
YF2P2,Yerington,2,2,Pre-,Spring,Lygus,9
YF2P2,Yerington,2,2,Pre-,Spring,Thysanoptera,126
YF2P2,Yerington,2,2,Pre-,Spring,Other,15
YF2P2,Yerington,2,2,Pre-,Spring,AllAph,20
YF2P2,Yerington,2,2,Pre-,Spring,NonAcy,0
YF2P3,Yerington,2,3,Pre-,Spring,Arachnida,3
YF2P3,Yerington,2,3,Pre-,Spring,Nabis,2
YF2P3,Yerington,2,3,Pre-,Spring,Geocoris,7
YF2P3,Yerington,2,3,Pre-,Spring,Anthocoridae,19
YF2P3,Yerington,2,3,Pre-,Spring,Coccinellidae,2
YF2P3,Yerington,2,3,Pre-,Spring,Ichneumonidae,97
YF2P3,Yerington,2,3,Pre-,Spring,Acyrthosiphon,42
YF2P3,Yerington,2,3,Pre-,Spring,Aphis,1
YF2P3,Yerington,2,3,Pre-,Spring,Therioaphis,0
YF2P3,Yerington,2,3,Pre-,Spring,Lygus,11
YF2P3,Yerington,2,3,Pre-,Spring,Thysanoptera,170
YF2P3,Yerington,2,3,Pre-,Spring,Other,23
YF2P3,Yerington,2,3,Pre-,Spring,AllAph,43
YF2P3,Yerington,2,3,Pre-,Spring,NonAcy,1
YF2.2(Location3),Yerington,3,1,Pre-,Spring,Arachnida,1
YF2.2(Location3),Yerington,3,1,Pre-,Spring,Nabis,0
YF2.2(Location3),Yerington,3,1,Pre-,Spring,Geocoris,4
YF2.2(Location3),Yerington,3,1,Pre-,Spring,Anthocoridae,9
YF2.2(Location3),Yerington,3,1,Pre-,Spring,Coccinellidae,5
YF2.2(Location3),Yerington,3,1,Pre-,Spring,Ichneumonidae,22
YF2.2(Location3),Yerington,3,1,Pre-,Spring,Acyrthosiphon,10
YF2.2(Location3),Yerington,3,1,Pre-,Spring,Aphis,0
YF2.2(Location3),Yerington,3,1,Pre-,Spring,Therioaphis,0
YF2.2(Location3),Yerington,3,1,Pre-,Spring,Lygus,7
YF2.2(Location3),Yerington,3,1,Pre-,Spring,Thysanoptera,46
YF2.2(Location3),Yerington,3,1,Pre-,Spring,Other,29
YF2.2(Location3),Yerington,3,1,Pre-,Spring,AllAph,10
YF2.2(Location3),Yerington,3,1,Pre-,Spring,NonAcy,0
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,Arachnida,2
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,Nabis,2
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,Geocoris,7
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,Anthocoridae,4
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,Coccinellidae,6
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,Ichneumonidae,32
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,Acyrthosiphon,16
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,Aphis,0
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,Therioaphis,0
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,Lygus,25
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,Thysanoptera,82
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,Other,45
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,AllAph,16
YF2(Loc3)p2,Yerington,3,2,Pre-,Spring,NonAcy,0
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,Arachnida,1
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,Nabis,1
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,Geocoris,18
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,Anthocoridae,6
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,Coccinellidae,5
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,Ichneumonidae,52
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,Acyrthosiphon,15
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,Aphis,0
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,Therioaphis,0
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,Lygus,27
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,Thysanoptera,141
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,Other,19
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,AllAph,15
YF2-2(Location3)P3,Yerington,3,3,Pre-,Spring,NonAcy,0
MF1P1,Minden,1,1,Pre-,Spring,Arachnida,0
MF1P1,Minden,1,1,Pre-,Spring,Nabis,0
MF1P1,Minden,1,1,Pre-,Spring,Geocoris,2
MF1P1,Minden,1,1,Pre-,Spring,Anthocoridae,8
MF1P1,Minden,1,1,Pre-,Spring,Coccinellidae,1
MF1P1,Minden,1,1,Pre-,Spring,Ichneumonidae,1
MF1P1,Minden,1,1,Pre-,Spring,Acyrthosiphon,7
MF1P1,Minden,1,1,Pre-,Spring,Aphis,0
MF1P1,Minden,1,1,Pre-,Spring,Therioaphis,2
MF1P1,Minden,1,1,Pre-,Spring,Lygus,6
MF1P1,Minden,1,1,Pre-,Spring,Thysanoptera,118
MF1P1,Minden,1,1,Pre-,Spring,Other,177
MF1P1,Minden,1,1,Pre-,Spring,AllAph,9
MF1P1,Minden,1,1,Pre-,Spring,NonAcy,2
MF1P2,Minden,1,2,Pre-,Spring,Arachnida,0
MF1P2,Minden,1,2,Pre-,Spring,Nabis,0
MF1P2,Minden,1,2,Pre-,Spring,Geocoris,0
MF1P2,Minden,1,2,Pre-,Spring,Anthocoridae,8
MF1P2,Minden,1,2,Pre-,Spring,Coccinellidae,0
MF1P2,Minden,1,2,Pre-,Spring,Ichneumonidae,4
MF1P2,Minden,1,2,Pre-,Spring,Acyrthosiphon,11
MF1P2,Minden,1,2,Pre-,Spring,Aphis,0
MF1P2,Minden,1,2,Pre-,Spring,Therioaphis,1
MF1P2,Minden,1,2,Pre-,Spring,Lygus,1
MF1P2,Minden,1,2,Pre-,Spring,Thysanoptera,137
MF1P2,Minden,1,2,Pre-,Spring,Other,179
MF1P2,Minden,1,2,Pre-,Spring,AllAph,12
MF1P2,Minden,1,2,Pre-,Spring,NonAcy,1
MF1P3,Minden,1,3,Pre-,Spring,Arachnida,0
MF1P3,Minden,1,3,Pre-,Spring,Nabis,1
MF1P3,Minden,1,3,Pre-,Spring,Geocoris,1
MF1P3,Minden,1,3,Pre-,Spring,Anthocoridae,14
MF1P3,Minden,1,3,Pre-,Spring,Coccinellidae,0
MF1P3,Minden,1,3,Pre-,Spring,Ichneumonidae,15
MF1P3,Minden,1,3,Pre-,Spring,Acyrthosiphon,17
MF1P3,Minden,1,3,Pre-,Spring,Aphis,0
MF1P3,Minden,1,3,Pre-,Spring,Therioaphis,3
MF1P3,Minden,1,3,Pre-,Spring,Lygus,7
MF1P3,Minden,1,3,Pre-,Spring,Thysanoptera,378
MF1P3,Minden,1,3,Pre-,Spring,Other,165
MF1P3,Minden,1,3,Pre-,Spring,AllAph,20
MF1P3,Minden,1,3,Pre-,Spring,NonAcy,3
MindenF2P1,Minden,2,1,Pre-,Spring,Arachnida,0
MindenF2P1,Minden,2,1,Pre-,Spring,Nabis,2
MindenF2P1,Minden,2,1,Pre-,Spring,Geocoris,5
MindenF2P1,Minden,2,1,Pre-,Spring,Anthocoridae,5
MindenF2P1,Minden,2,1,Pre-,Spring,Coccinellidae,6
MindenF2P1,Minden,2,1,Pre-,Spring,Ichneumonidae,8
MindenF2P1,Minden,2,1,Pre-,Spring,Acyrthosiphon,11
MindenF2P1,Minden,2,1,Pre-,Spring,Aphis,2
MindenF2P1,Minden,2,1,Pre-,Spring,Therioaphis,10
MindenF2P1,Minden,2,1,Pre-,Spring,Lygus,39
MindenF2P1,Minden,2,1,Pre-,Spring,Thysanoptera,178
MindenF2P1,Minden,2,1,Pre-,Spring,Other,150
MindenF2P1,Minden,2,1,Pre-,Spring,AllAph,23
MindenF2P1,Minden,2,1,Pre-,Spring,NonAcy,12
MindenF2P2,Minden,2,2,Pre-,Spring,Arachnida,0
MindenF2P2,Minden,2,2,Pre-,Spring,Nabis,1
MindenF2P2,Minden,2,2,Pre-,Spring,Geocoris,8
MindenF2P2,Minden,2,2,Pre-,Spring,Anthocoridae,13
MindenF2P2,Minden,2,2,Pre-,Spring,Coccinellidae,4
MindenF2P2,Minden,2,2,Pre-,Spring,Ichneumonidae,10
MindenF2P2,Minden,2,2,Pre-,Spring,Acyrthosiphon,18
MindenF2P2,Minden,2,2,Pre-,Spring,Aphis,1
MindenF2P2,Minden,2,2,Pre-,Spring,Therioaphis,4
MindenF2P2,Minden,2,2,Pre-,Spring,Lygus,37
MindenF2P2,Minden,2,2,Pre-,Spring,Thysanoptera,476
MindenF2P2,Minden,2,2,Pre-,Spring,Other,102
MindenF2P2,Minden,2,2,Pre-,Spring,AllAph,23
MindenF2P2,Minden,2,2,Pre-,Spring,NonAcy,5
MindenF2P3,Minden,2,3,Pre-,Spring,Arachnida,0
MindenF2P3,Minden,2,3,Pre-,Spring,Nabis,4
MindenF2P3,Minden,2,3,Pre-,Spring,Geocoris,0
MindenF2P3,Minden,2,3,Pre-,Spring,Anthocoridae,31
MindenF2P3,Minden,2,3,Pre-,Spring,Coccinellidae,1
MindenF2P3,Minden,2,3,Pre-,Spring,Ichneumonidae,16
MindenF2P3,Minden,2,3,Pre-,Spring,Acyrthosiphon,26
MindenF2P3,Minden,2,3,Pre-,Spring,Aphis,1
MindenF2P3,Minden,2,3,Pre-,Spring,Therioaphis,11
MindenF2P3,Minden,2,3,Pre-,Spring,Lygus,33
MindenF2P3,Minden,2,3,Pre-,Spring,Thysanoptera,331
MindenF2P3,Minden,2,3,Pre-,Spring,Other,98
MindenF2P3,Minden,2,3,Pre-,Spring,AllAph,38
MindenF2P3,Minden,2,3,Pre-,Spring,NonAcy,12
MindenF3P1,Minden,3,1,Pre-,Spring,Arachnida,2
MindenF3P1,Minden,3,1,Pre-,Spring,Nabis,0
MindenF3P1,Minden,3,1,Pre-,Spring,Geocoris,11
MindenF3P1,Minden,3,1,Pre-,Spring,Anthocoridae,20
MindenF3P1,Minden,3,1,Pre-,Spring,Coccinellidae,5
MindenF3P1,Minden,3,1,Pre-,Spring,Ichneumonidae,18
MindenF3P1,Minden,3,1,Pre-,Spring,Acyrthosiphon,24
MindenF3P1,Minden,3,1,Pre-,Spring,Aphis,0
MindenF3P1,Minden,3,1,Pre-,Spring,Therioaphis,19
MindenF3P1,Minden,3,1,Pre-,Spring,Lygus,14
MindenF3P1,Minden,3,1,Pre-,Spring,Thysanoptera,291
MindenF3P1,Minden,3,1,Pre-,Spring,Other,69
MindenF3P1,Minden,3,1,Pre-,Spring,AllAph,43
MindenF3P1,Minden,3,1,Pre-,Spring,NonAcy,19
FallonField4Plot2,Fallon,2,2,Pre-,Spring,Arachnida,0
FallonField4Plot2,Fallon,2,2,Pre-,Spring,Nabis,0
FallonField4Plot2,Fallon,2,2,Pre-,Spring,Geocoris,6
FallonField4Plot2,Fallon,2,2,Pre-,Spring,Anthocoridae,1
FallonField4Plot2,Fallon,2,2,Pre-,Spring,Coccinellidae,0
FallonField4Plot2,Fallon,2,2,Pre-,Spring,Ichneumonidae,18
FallonField4Plot2,Fallon,2,2,Pre-,Spring,Acyrthosiphon,186
FallonField4Plot2,Fallon,2,2,Pre-,Spring,Aphis,0
FallonField4Plot2,Fallon,2,2,Pre-,Spring,Therioaphis,0
FallonField4Plot2,Fallon,2,2,Pre-,Spring,Lygus,0
FallonField4Plot2,Fallon,2,2,Pre-,Spring,Thysanoptera,38
FallonField4Plot2,Fallon,2,2,Pre-,Spring,Other,66
FallonField4Plot2,Fallon,2,2,Pre-,Spring,AllAph,186
FallonField4Plot2,Fallon,2,2,Pre-,Spring,NonAcy,0
MindenF3P2,Minden,3,2,Pre-,Spring,Arachnida,0
MindenF3P2,Minden,3,2,Pre-,Spring,Nabis,0
MindenF3P2,Minden,3,2,Pre-,Spring,Geocoris,1
MindenF3P2,Minden,3,2,Pre-,Spring,Anthocoridae,8
MindenF3P2,Minden,3,2,Pre-,Spring,Coccinellidae,2
MindenF3P2,Minden,3,2,Pre-,Spring,Ichneumonidae,13
MindenF3P2,Minden,3,2,Pre-,Spring,Acyrthosiphon,60
MindenF3P2,Minden,3,2,Pre-,Spring,Aphis,0
MindenF3P2,Minden,3,2,Pre-,Spring,Therioaphis,1
MindenF3P2,Minden,3,2,Pre-,Spring,Lygus,1
MindenF3P2,Minden,3,2,Pre-,Spring,Thysanoptera,166
MindenF3P2,Minden,3,2,Pre-,Spring,Other,5
MindenF3P2,Minden,3,2,Pre-,Spring,AllAph,61
MindenF3P2,Minden,3,2,Pre-,Spring,NonAcy,1
MindenF3P3,Minden,3,3,Pre-,Spring,Arachnida,1
MindenF3P3,Minden,3,3,Pre-,Spring,Nabis,0
MindenF3P3,Minden,3,3,Pre-,Spring,Geocoris,2
MindenF3P3,Minden,3,3,Pre-,Spring,Anthocoridae,7
MindenF3P3,Minden,3,3,Pre-,Spring,Coccinellidae,2
MindenF3P3,Minden,3,3,Pre-,Spring,Ichneumonidae,5
MindenF3P3,Minden,3,3,Pre-,Spring,Acyrthosiphon,49
MindenF3P3,Minden,3,3,Pre-,Spring,Aphis,0
MindenF3P3,Minden,3,3,Pre-,Spring,Therioaphis,2
MindenF3P3,Minden,3,3,Pre-,Spring,Lygus,2
MindenF3P3,Minden,3,3,Pre-,Spring,Thysanoptera,216
MindenF3P3,Minden,3,3,Pre-,Spring,Other,9
MindenF3P3,Minden,3,3,Pre-,Spring,AllAph,51
MindenF3P3,Minden,3,3,Pre-,Spring,NonAcy,2
LF2P3,Lovelock,2,3,Pre-,Spring,Arachnida,4
LF2P3,Lovelock,2,3,Pre-,Spring,Nabis,0
LF2P3,Lovelock,2,3,Pre-,Spring,Geocoris,1
LF2P3,Lovelock,2,3,Pre-,Spring,Anthocoridae,0
LF2P3,Lovelock,2,3,Pre-,Spring,Coccinellidae,4
LF2P3,Lovelock,2,3,Pre-,Spring,Ichneumonidae,43
LF2P3,Lovelock,2,3,Pre-,Spring,Acyrthosiphon,607
LF2P3,Lovelock,2,3,Pre-,Spring,Aphis,0
LF2P3,Lovelock,2,3,Pre-,Spring,Therioaphis,2
LF2P3,Lovelock,2,3,Pre-,Spring,Lygus,5
LF2P3,Lovelock,2,3,Pre-,Spring,Thysanoptera,169
LF2P3,Lovelock,2,3,Pre-,Spring,Other,66
LF2P3,Lovelock,2,3,Pre-,Spring,AllAph,609
LF2P3,Lovelock,2,3,Pre-,Spring,NonAcy,2
LF1P2,Lovelock,1,2,Pre-,Spring,Arachnida,0
LF1P2,Lovelock,1,2,Pre-,Spring,Nabis,0
LF1P2,Lovelock,1,2,Pre-,Spring,Geocoris,0
LF1P2,Lovelock,1,2,Pre-,Spring,Anthocoridae,3
LF1P2,Lovelock,1,2,Pre-,Spring,Coccinellidae,5
LF1P2,Lovelock,1,2,Pre-,Spring,Ichneumonidae,24
LF1P2,Lovelock,1,2,Pre-,Spring,Acyrthosiphon,433
LF1P2,Lovelock,1,2,Pre-,Spring,Aphis,0
LF1P2,Lovelock,1,2,Pre-,Spring,Therioaphis,0
LF1P2,Lovelock,1,2,Pre-,Spring,Lygus,1
LF1P2,Lovelock,1,2,Pre-,Spring,Thysanoptera,46
LF1P2,Lovelock,1,2,Pre-,Spring,Other,26
LF1P2,Lovelock,1,2,Pre-,Spring,AllAph,433
LF1P2,Lovelock,1,2,Pre-,Spring,NonAcy,0
LF1P1,Lovelock,1,1,Pre-,Spring,Arachnida,2
LF1P1,Lovelock,1,1,Pre-,Spring,Nabis,0
LF1P1,Lovelock,1,1,Pre-,Spring,Geocoris,0
LF1P1,Lovelock,1,1,Pre-,Spring,Anthocoridae,4
LF1P1,Lovelock,1,1,Pre-,Spring,Coccinellidae,3
LF1P1,Lovelock,1,1,Pre-,Spring,Ichneumonidae,22
LF1P1,Lovelock,1,1,Pre-,Spring,Acyrthosiphon,567
LF1P1,Lovelock,1,1,Pre-,Spring,Aphis,0
LF1P1,Lovelock,1,1,Pre-,Spring,Therioaphis,0
LF1P1,Lovelock,1,1,Pre-,Spring,Lygus,4
LF1P1,Lovelock,1,1,Pre-,Spring,Thysanoptera,61
LF1P1,Lovelock,1,1,Pre-,Spring,Other,42
LF1P1,Lovelock,1,1,Pre-,Spring,AllAph,567
LF1P1,Lovelock,1,1,Pre-,Spring,NonAcy,0
LF1P3,Lovelock,1,3,Pre-,Spring,Arachnida,2
LF1P3,Lovelock,1,3,Pre-,Spring,Nabis,0
LF1P3,Lovelock,1,3,Pre-,Spring,Geocoris,0
LF1P3,Lovelock,1,3,Pre-,Spring,Anthocoridae,2
LF1P3,Lovelock,1,3,Pre-,Spring,Coccinellidae,2
LF1P3,Lovelock,1,3,Pre-,Spring,Ichneumonidae,21
LF1P3,Lovelock,1,3,Pre-,Spring,Acyrthosiphon,355
LF1P3,Lovelock,1,3,Pre-,Spring,Aphis,0
LF1P3,Lovelock,1,3,Pre-,Spring,Therioaphis,0
LF1P3,Lovelock,1,3,Pre-,Spring,Lygus,6
LF1P3,Lovelock,1,3,Pre-,Spring,Thysanoptera,67
LF1P3,Lovelock,1,3,Pre-,Spring,Other,30
LF1P3,Lovelock,1,3,Pre-,Spring,AllAph,355
LF1P3,Lovelock,1,3,Pre-,Spring,NonAcy,0
LF2P1,Lovelock,2,1,Pre-,Spring,Arachnida,3
LF2P1,Lovelock,2,1,Pre-,Spring,Nabis,0
LF2P1,Lovelock,2,1,Pre-,Spring,Geocoris,0
LF2P1,Lovelock,2,1,Pre-,Spring,Anthocoridae,5
LF2P1,Lovelock,2,1,Pre-,Spring,Coccinellidae,5
LF2P1,Lovelock,2,1,Pre-,Spring,Ichneumonidae,49
LF2P1,Lovelock,2,1,Pre-,Spring,Acyrthosiphon,313
LF2P1,Lovelock,2,1,Pre-,Spring,Aphis,0
LF2P1,Lovelock,2,1,Pre-,Spring,Therioaphis,0
LF2P1,Lovelock,2,1,Pre-,Spring,Lygus,8
LF2P1,Lovelock,2,1,Pre-,Spring,Thysanoptera,209
LF2P1,Lovelock,2,1,Pre-,Spring,Other,9
LF2P1,Lovelock,2,1,Pre-,Spring,AllAph,313
LF2P1,Lovelock,2,1,Pre-,Spring,NonAcy,0
LF2P2,Lovelock,2,2,Pre-,Spring,Arachnida,2
LF2P2,Lovelock,2,2,Pre-,Spring,Nabis,0
LF2P2,Lovelock,2,2,Pre-,Spring,Geocoris,2
LF2P2,Lovelock,2,2,Pre-,Spring,Anthocoridae,1
LF2P2,Lovelock,2,2,Pre-,Spring,Coccinellidae,8
LF2P2,Lovelock,2,2,Pre-,Spring,Ichneumonidae,58
LF2P2,Lovelock,2,2,Pre-,Spring,Acyrthosiphon,2950
LF2P2,Lovelock,2,2,Pre-,Spring,Aphis,0
LF2P2,Lovelock,2,2,Pre-,Spring,Therioaphis,0
LF2P2,Lovelock,2,2,Pre-,Spring,Lygus,8
LF2P2,Lovelock,2,2,Pre-,Spring,Thysanoptera,150
LF2P2,Lovelock,2,2,Pre-,Spring,Other,5
LF2P2,Lovelock,2,2,Pre-,Spring,AllAph,2950
LF2P2,Lovelock,2,2,Pre-,Spring,NonAcy,0
LovelockF3P1,Lovelock,3,1,Pre-,Spring,Arachnida,5
LovelockF3P1,Lovelock,3,1,Pre-,Spring,Nabis,0
LovelockF3P1,Lovelock,3,1,Pre-,Spring,Geocoris,0
LovelockF3P1,Lovelock,3,1,Pre-,Spring,Anthocoridae,1
LovelockF3P1,Lovelock,3,1,Pre-,Spring,Coccinellidae,5
LovelockF3P1,Lovelock,3,1,Pre-,Spring,Ichneumonidae,158
LovelockF3P1,Lovelock,3,1,Pre-,Spring,Acyrthosiphon,479
LovelockF3P1,Lovelock,3,1,Pre-,Spring,Aphis,0
LovelockF3P1,Lovelock,3,1,Pre-,Spring,Therioaphis,0
LovelockF3P1,Lovelock,3,1,Pre-,Spring,Lygus,7
LovelockF3P1,Lovelock,3,1,Pre-,Spring,Thysanoptera,5
LovelockF3P1,Lovelock,3,1,Pre-,Spring,Other,3
LovelockF3P1,Lovelock,3,1,Pre-,Spring,AllAph,479
LovelockF3P1,Lovelock,3,1,Pre-,Spring,NonAcy,0
LF3P2,Lovelock,3,2,Pre-,Spring,Arachnida,2
LF3P2,Lovelock,3,2,Pre-,Spring,Nabis,0
LF3P2,Lovelock,3,2,Pre-,Spring,Geocoris,0
LF3P2,Lovelock,3,2,Pre-,Spring,Anthocoridae,2
LF3P2,Lovelock,3,2,Pre-,Spring,Coccinellidae,4
LF3P2,Lovelock,3,2,Pre-,Spring,Ichneumonidae,580
LF3P2,Lovelock,3,2,Pre-,Spring,Acyrthosiphon,1090
LF3P2,Lovelock,3,2,Pre-,Spring,Aphis,0
LF3P2,Lovelock,3,2,Pre-,Spring,Therioaphis,0
LF3P2,Lovelock,3,2,Pre-,Spring,Lygus,0
LF3P2,Lovelock,3,2,Pre-,Spring,Thysanoptera,4
LF3P2,Lovelock,3,2,Pre-,Spring,Other,8
LF3P2,Lovelock,3,2,Pre-,Spring,AllAph,1090
LF3P2,Lovelock,3,2,Pre-,Spring,NonAcy,0
LF3P3,Lovelock,3,3,Pre-,Spring,Arachnida,6
LF3P3,Lovelock,3,3,Pre-,Spring,Nabis,0
LF3P3,Lovelock,3,3,Pre-,Spring,Geocoris,0
LF3P3,Lovelock,3,3,Pre-,Spring,Anthocoridae,1
LF3P3,Lovelock,3,3,Pre-,Spring,Coccinellidae,2
LF3P3,Lovelock,3,3,Pre-,Spring,Ichneumonidae,480
LF3P3,Lovelock,3,3,Pre-,Spring,Acyrthosiphon,826
LF3P3,Lovelock,3,3,Pre-,Spring,Aphis,47
LF3P3,Lovelock,3,3,Pre-,Spring,Therioaphis,0
LF3P3,Lovelock,3,3,Pre-,Spring,Lygus,0
LF3P3,Lovelock,3,3,Pre-,Spring,Thysanoptera,3
LF3P3,Lovelock,3,3,Pre-,Spring,Other,6
LF3P3,Lovelock,3,3,Pre-,Spring,AllAph,873
LF3P3,Lovelock,3,3,Pre-,Spring,NonAcy,47
FallonF1P1,Fallon,1,1,Pre-,Spring,Arachnida,0
FallonF1P1,Fallon,1,1,Pre-,Spring,Nabis,0
FallonF1P1,Fallon,1,1,Pre-,Spring,Geocoris,0
FallonF1P1,Fallon,1,1,Pre-,Spring,Anthocoridae,4
FallonF1P1,Fallon,1,1,Pre-,Spring,Coccinellidae,0
FallonF1P1,Fallon,1,1,Pre-,Spring,Ichneumonidae,29
FallonF1P1,Fallon,1,1,Pre-,Spring,Acyrthosiphon,1160
FallonF1P1,Fallon,1,1,Pre-,Spring,Aphis,2
FallonF1P1,Fallon,1,1,Pre-,Spring,Therioaphis,3
FallonF1P1,Fallon,1,1,Pre-,Spring,Lygus,1
FallonF1P1,Fallon,1,1,Pre-,Spring,Thysanoptera,30
FallonF1P1,Fallon,1,1,Pre-,Spring,Other,37
FallonF1P1,Fallon,1,1,Pre-,Spring,AllAph,1165
FallonF1P1,Fallon,1,1,Pre-,Spring,NonAcy,5
FallonF1P2,Fallon,1,2,Pre-,Spring,Arachnida,0
FallonF1P2,Fallon,1,2,Pre-,Spring,Nabis,0
FallonF1P2,Fallon,1,2,Pre-,Spring,Geocoris,0
FallonF1P2,Fallon,1,2,Pre-,Spring,Anthocoridae,8
FallonF1P2,Fallon,1,2,Pre-,Spring,Coccinellidae,2
