Number,Vial,Site,Field,Plot,Treatment,Sorter,Counter,Counter_2,Arachnida,Nabis,Geocoris,Anthocoridae,Coccinellidae,Ichneumonoidea,Acyrthosiphon,Aphis,Therioaphis,Lygus,Thysanoptera,Other,Notes
47,FallonF3P1FULL,Fallon,3,1,Full,Doug,Anson,Sami,2,0,0,6,1,19,324,1,0,0,246,81,
48,FallonF3P1SHAM,Fallon,3,1,Sham,Doug,Anson,Sami,2,0,0,6,3,19,190,0,0,0,172,56,
49,FallonF3P1Control,Fallon,3,1,Control,Doug,Anson,Sami,0,0,0,2,4,18,158,0,0,0,75,12,
50,FallonF1P3Full,Fallon,1,3,Full,Doug,Anson,Sami,0,0,2,5,2,27,557,0,0,1,81,57,
51,FallonF3P3Control,Fallon,3,3,Control,Mackenzie,Anson,Sami,0,0,0,4,2,11,125,3,0,0,4,12,
52,FallonF3P2Full,Fallon,3,2,Full,Anson,Mackenzie,Sami,0,0,1,3,1,9,155,0,0,0,216,10,
53,FallonF3P2SHAM,Fallon,3,2,Sham,Anson,Mackenzie,Sami,1,0,0,7,2,16,158,0,1,0,126,42,
54,FallonF3P3SHAM,Fallon,3,3,Sham,Anson,Mackenzie,Sami,3,0,0,9,1,10,197,0,0,0,227,10,
55,FallonF3P3FULL,Fallon,3,3,Full,Anson,Mackenzie,Sami,1,0,4,8,0,4,188,0,0,0,154,4,
56,FallonF4P1CONTROL,Fallon,4,1,Control,Anson,Mackenzie,Sami,0,0,3,3,0,21,93,0,0,0,12,33,
57,FallonF4P1SHAM,Fallon,4,1,Sham,Anson,Anson,Sami,0,0,6,5,1,20,106,0,4,0,4,34,
58,FallonF4P1Full,Fallon,4,1,Full,Mackenzie,Anson,Sami,2,0,3,2,0,17,198,0,1,0,4,29,
59,FallonF4P2Control,Fallon,4,2,Control,Doug,Anson,Sami,0,0,5,4,0,7,61,2,2,0,5,17,
60,YF1P2CONTROL,Yerington,1,2,Control,Anson,Anson,Sami,3,0,6,5,1,77,3,0,0,19,140,129,
61,FallonF4P2SHAM,Fallon,4,2,Sham,Mackenzie,Anson,Sami,1,0,6,4,0,18,100,0,3,0,0,24,
62,YF3P3Control,Yerington,3,3,Control,Mackenzie,Anson,Sami,1,0,5,3,2,7,12,0,0,12,93,38,
63,YF1P1Control,Yerington,1,1,Control,Mackenzie,Anson,Sami,1,2,5,29,0,15,20,0,0,19,82,12,
64,YF1P1Mock,Yerington,1,1,Sham,Anson,Anson,Sami,6,1,2,41,1,29,22,1,0,51,49,90,
65,YF1P1FULL,Yerington,1,1,Full,Anson,Anson,Sami,1,1,2,18,0,20,12,0,0,20,111,62,
66,YF2(YF1?)P2SHAM,Yerington,2,2,Sham,Anson,Anson,Sami,4,0,3,18,5,24,16,0,0,4,70,62,
67,YF2(YF1?)P2FULL,Yerington,2,2,Full,Anson,Anson,Sami,1,0,1,16,0,21,62,1,0,0,138,29,
68,YF1P3CONTROL,Yerington,1,3,Control,Anson,Anson,Sami,2,2,7,23,5,91,8,0,0,49,159,120,
69,YF1P3SHAM,Yerington,1,3,Sham,Anson,Anson,Sami,2,2,2,22,4,95,10,1,0,48,235,122,
70,YF1P3Full,Yerington,1,3,Full,Mackenzie,Anson,Sami,3,0,1,12,1,172,1,0,0,77,330,187,
71,YF2(YF1?)P2FULL,Yerington,2?1,2,Full,Anson,Anson,Sami,0,0,3,11,3,74,0,0,0,18,189,328,
72,YF2P1CONT,Yerington,2,1,Control,Anson,Anson,Sami,2,1,7,10,5,16,20,0,0,6,87,112,
73,YF2P1SHAM,Yerington,2,1,Sham,Anson,Anson,Sami,1,3,2,18,10,27,26,0,0,9,34,105,
74,YF3P1Control,Yerington,3,1,Control,Doug,Anson,Sami,1,0,3,6,6,2,19,1,0,12,62,42,
75,YF3P3SHAM,Yerington,3,3,Sham,Doug,Anson,Sami,0,0,5,6,5,6,11,0,0,20,64,23,
76,YF2P3CONT,Yerington,2,3,Control,Anson,Anson,Sami,2,0,2,13,2,47,27,0,0,18,39,96,
77,YF2P2CONT,Yerington,2,2,Control,Anson,Anson,Sami,1,0,4,16,3,24,46,39,0,7,64,80,
78,YF2P1FULL,Yerington,2,1,Full,Anson,Anson,Sami,2,0,0,11,1,10,31,0,0,4,17,29,
79,YF2(YF1?)P2SHAM,Yerington,2?1,2,Sham,Anson,Anson,Sami,2,0,7,20,0,42,4,0,0,23,192,138,
80,YF2P3Full,Yerington,2,3,Full,Doug,Anson,Sami,1,0,5,8,3,30,53,0,0,5,51,23,
81,YF2P3SHAM,Yerington,2,3,Sham,Anson,Anson,Sami,1,0,4,11,3,35,38,1,0,16,25,114,
82,YF3P3Full,Yerington,3,3,Full,Mackenzie,Anson,Sami,0,0,7,8,2,6,24,0,0,15,4,1,
83,YF3P1SHAM,Yerington,3,1,Sham,Anson,Anson,Sami,2,0,5,14,4,2,26,0,0,16,33,60,
84,YF3P1FULL,Yerington,3,1,Full,Anson,Anson,Sami,4,0,3,11,1,2,20,0,0,4,62,31,
85,YF3P2CONT,Yerington,3,2,Control,Anson,Anson,Sami,0,0,2,1,1,3,15,0,0,7,24,6,
86,YF3P2SHAM,Yerington,3,2,Sham,Anson,Anson,Sami,3,0,2,5,3,4,27,0,0,15,14,9,
87,YF3P2FULL,Yerington,3,2,Full,Anson,Anson,Sami,0,0,1,5,1,1,47,0,0,15,40,2,
88,FallonF4P2FULL,Fallon,4,2,Full,Anson,Mackenzie,Sami,3,0,4,2,1,8,128,0,6,0,23,49,
89,FallonF4P3CONT,Fallon,4,3,Control,Anson,Mackenzie,Sami,0,0,4,0,1,14,113,0,2,0,9,36,
90,MindenF1P1SHAM,Minden,1,1,Sham,Anson,Mackenzie,Sami,1,0,0,24,1,3,36,0,5,3,95,307,
91,MindenF2P1FULL,Minden,2,1,Full,Anson,Mackenzie,Sami,0,0,12,13,0,4,16,0,3,6,264,30,
92,MindenF1P2CONT,Minden,1,2,Control,Anson,Mackenzie,Sami,0,1,3,7,1,1,33,0,0,9,51,249,
93,MindenF1P2SHAM,Minden,1,2,Sham,Anson,Mackenzie/Anson,Sami,0,0,0,17,0,3,35,0,0,1,135,152,
94,MindenF1P2FULL,Minden,1,2,Full,Anson,Anson,Sami,0,0,1,17,1,3,10,0,0,2,149,227,possible vial number mix up?
95,MindenF1P3CONT,Minden,1,3,Control,Anson,Anson,Sami,0,0,0,22,0,7,28,1,2,4,138,82,"Must recount.. one of these has to be wrong, and the rows are shifted. I don't know where the mistake is!!!"
96,MindenF1P3SHAM,Minden,1,3,Sham,Anson,Anson,Sami,1,1,1,27,2,6,33,1,0,7,194,449,
97,MindenF1P3FULL,Minden,1,3,Full,Anson,Anson,Sami,0,0,1,18,0,1,41,0,0,5,206,167,
98,MindenF2P1CONT,Minden,2,1,Control,Anson,Anson,Sami,1,1,1,10,2,3,19,0,3,5,172,39,
99,MindenF2P1SHAM,Minden,2,1,Sham,Anson,Anson,Sami,0,0,4,18,1,8,14,0,2,17,387,60,
100,MindenF1P1FULL,Minden,1,1,Full,Anson,Anson,Sami,1,0,0,14,1,8,63,0,0,2,232,226,
101,MindenF2P2CONT,Minden,2,2,Control,Anson,Anson,Sami,2,0,2,9,0,6,9,0,3,10,170,111,same
102,MindenF2P2SHAM,Minden,2,2,Sham,Anson,Anson,Sami,1,0,11,13,3,4,17,0,2,16,537,133,about same - added 1 ladybug
103,MindenF2P2FUL,Minden,2,2,Full,Anson,Anson,Sami,1,0,6,8,2,3,12,0,3,5,527,81,same
104,MindenF2P3CONT,Minden,2,3,Control,Anson,Anson,Sami,0,0,1,8,1,3,18,0,1,13,128,163,DONE
105,MindenF2P3SHAM,Minden,2,3,Sham,Anson,Anson,Sami,3,1,5,8,3,6,28,0,4,16,509,83,"<- accidentally recorded f2p3full here, then realized I was one off. "
106,MindenF2P3Full,Minden,2,3,Full,Doug,Anson,Sami,0,0,8,9,1,5,15,0,0,8,383,125,
107,MindenF3P1CONT,Minden,3,1,Control,Anson,Anson,Sami,0,0,5,4,0,1,48,0,31,4,101,48,
108,MindenF3P1SHAM,Minden,3,1,Sham,Anson,Anson,Sami,1,1,7,9,3,2,62,0,34,4,110,12,
109,MindenF3P1FULL,Minden,3,1,Full,Anson,Anson,Sami,0,0,8,4,1,2,62,0,5,7,241,15,
110,MindenF3P2CONT,Minden,3,2,Control,Anson,Anson,Sami,0,0,1,8,1,8,114,0,4,2,219,15,
111,MindenF3P2SHAM,Minden,3,2,Sham,Anson,Anson,Sami,0,1,10,14,3,0,71,0,7,8,384,16,
112,MindenF3P2FULL,Minden,3,2,Full,Anson,Anson,Sami,0,0,4,8,2,2,58,0,18,2,458,22,
113,MindenF3P3CONT,Minden,3,3,Control,Anson,Anson,Sami,1,2,7,1,3,3,38,1,3,5,91,31,
114,MindenF3P3SHAM,Minden,3,3,Sham,Anson,Anson,Sami,0,0,1,10,1,2,57,0,2,4,412,59,
115,MindenF3P3FUL,Minden,3,3,Full,Anson,Anson,Sami,1,0,9,6,0,4,152,0,5,2,525,7,
116,LLF1P1CONT,Lovelock,1,1,Control,Anson,Anson,Sami,2,0,2,2,2,15,112,0,0,1,30,8,
117,LLF1P1SHAM,Lovelock,1,1,Sham,Anson,Anson,Sami,1,0,4,6,5,6,163,1,0,1,66,20,
118,LLF1P1FULL,Lovelock,1,1,Full,Anson,Anson,Sami,1,0,2,4,1,11,168,0,0,0,39,6,
119,LLF1P2CONT,Lovelock,1,2,Control,Anson,Anson,Sami,0,0,0,2,1,18,108,0,0,1,29,31,
120,LLF1P2SHAM,Lovelock,1,2,Sham,Anson,Anson,Sami,2,0,1,3,4,18,106,0,0,1,123,7,
121,L3P2Full,Lovelock,2,2,Full,Mackenzie,Anson,Sami,1,0,1,4,0,3,147,172,146,0,16,3,
122,L3P3SHAM,Lovelock,3,3,Sham,Mackenzie,Anson,Sami,4,0,0,7,0,9,64,165,480,0,10,9,
123,LLF1P2FULL,Lovelock,1,2,Full,Anson,Anson,Sami,1,0,3,2,1,8,120,0,0,0,70,6,
124,LLF1P3CONT,Lovelock,1,3,Control,Anson,Anson,Sami,2,0,0,3,2,13,90,0,0,0,26,6,
125,LLF1P3SHAM,Lovelock,1,3,Sham,Anson,Anson,Sami,5,0,1,3,4,11,102,0,0,0,68,9,
126,LLF1P3FULL,Lovelock,1,3,Full,Anson,Anson,Sami,1,0,1,1,2,9,107,0,0,4,60,3,
127,LLF2P1CONT,Lovelock,2,1,Control,Anson,Anson,Sami,0,0,1,1,3,19,98,0,0,1,35,12,
128,LLF2P1SHAM,Lovelock,2,1,Sham,Anson,Anson,Sami,3,0,2,7,2,26,444,0,0,0,128,9,
129,LLF2P1FULL,Lovelock,2,1,Full,Anson,Anson,Sami,1,0,1,2,4,36,181,0,0,0,117,3,
130,LLF2P2CONT,Lovelock,2,2,Control,Anson,Anson,Sami,0,0,2,1,6,46,3996,2,0,0,27,31,Acyrthosiphon number extrapolated based on 1/2 plate count
131,LLF2P3FULL,Lovelock,2,3,Full,Anson,Anson,Sami,2,0,2,3,1,41,358,0,0,1,125,14,
132,LLF2P3SHAM,Lovelock,2,3,Sham,Mackenzie,Anson,Sami,0,0,2,3,4,54,537,0,0,1,176,13,
133,LLF2P3CONT,Lovelock,2,3,Control,Mackenzie,Anson,Sami,0,0,2,2,1,30,279,0,0,0,51,5,
134,LLF2P2Full,Lovelock,2,2,Full,Mackenzie,Anson,Sami,0,0,0,2,1,31,329,0,0,0,165,2,
135,LLF2P2SHAM,Lovelock,2,2,Sham,Doug,Anson,Sami,2,0,3,3,7,33,952,1,0,0,188,4,
136,LLF3P1CONT,Lovelock,3,1,Control,Anson,Anson,Sami,0,0,0,0,0,32,91,0,0,1,7,4,
137,LLF3P1SHAM,Lovelock,3,1,Sham,Anson,Anson,Sami,1,0,0,0,0,60,91,0,0,0,35,3,
138,LLF3P1FULL,Lovelock,3,1,Full,Anson,Anson,Sami,1,0,1,1,1,28,49,1,0,0,29,3,
139,LLF3P2SHAM[?],Lovelock,3,2,Sham,Anson,Anson,Sami,0,0,0,0,3,90,86,0,0,0,9,2,
140,LLF3P2SHAM[?],Lovelock,3,2,Sham,Anson,Anson,Sami,3,0,0,0,2,54,107,0,0,0,43,5,
141,LLF3P2Full,Lovelock,3,2,Full,Mackenzie,Anson,Sami,0,0,0,0,1,41,64,13,0,0,27,5,
142,LLF3P3SHAM,Lovelock,3,3,Sham,Mackenzie,Anson,Sami,0,0,0,0,1,66,59,0,0,0,22,4,
143,LLF3P3CONT,Lovelock,3,3,Control,Anson,Anson,Sami,0,0,0,2,0,38,62,5,0,0,20,2,
144,LLF3P3FULL,Lovelock,3,3,Full,Anson,Anson,Sami,2,0,0,1,2,43,15,0,0,1,17,3,
