survey_date,observers,site,waypoint,species,count,cover,notes,key1,key2
2021-05-13,"AC, SA, BD",Fallon,44,,,,private property (house),,
2021-05-13,"AC, SA, BD",Fallon,45,MESA,,85,,,
2021-05-13,"AC, SA, BD",Fallon,46,,,,private property (house),,
2021-05-13,"AC, SA, BD",Fallon,43,DEPI,100,35,,,
2021-05-13,"AC, SA, BD",Fallon,43,ZEMA,,35,,,
2021-05-13,"AC, SA, BD",Fallon,47,DEPI,,,,,
2021-05-13,"AC, SA, BD",Fallon,47,UNK5,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,47,UNK4,2,5,,,
2021-05-13,"AC, SA, BD",Fallon,47,COAR4,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,47,GRASS1,5,1,,,
2021-05-13,"AC, SA, BD",Fallon,48,ASFA,2,1,,,
2021-05-13,"AC, SA, BD",Fallon,48,MESA,1,5,,,
2021-05-13,"AC, SA, BD",Fallon,48,UNK4,12,5,,,
2021-05-13,"AC, SA, BD",Fallon,48,DEPI,1,5,,,
2021-05-13,"AC, SA, BD",Fallon,48,RhizoGRS,7,1,,,
2021-05-13,"AC, SA, BD",Fallon,48,UNK5,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,48,UNK12,15,1,,,
2021-05-13,"AC, SA, BD",Fallon,49,RhizoGRS,2,1,mostly bare ground,,
2021-05-13,"AC, SA, BD",Fallon,50,UNK4,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,50,ERCE6,8,15,,,
2021-05-13,"AC, SA, BD",Fallon,50,COAR4,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,50,RhizoGRS,7,1,,,
2021-05-13,"AC, SA, BD",Fallon,51,MESA,,85,,,
2021-05-13,"AC, SA, BD",Fallon,52,,,,private property (house),,
2021-05-13,"AC, SA, BD",Fallon,53,DEPI,164,10,,,
2021-05-13,"AC, SA, BD",Fallon,53,UNK5,8,10,,,
2021-05-13,"AC, SA, BD",Fallon,54,ASFA,4,35,,,
2021-05-13,"AC, SA, BD",Fallon,54,UNK11,8,35,,,
2021-05-13,"AC, SA, BD",Fallon,55,MESA,,85,,,
2021-05-13,"AC, SA, BD",Fallon,56,DEPI,18,5,,,
2021-05-13,"AC, SA, BD",Fallon,56,UNK5,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,57,,,,private property (house),,
2021-05-25,"AC, SA, DC",Minden,1,,,,bare field,,
2021-05-25,"AC, SA, DC",Minden,2,,,,bare field,,
2021-05-25,"AC, SA, DC",Minden,3,MESA,1,5,,,
2021-05-25,"AC, SA, DC",Minden,4,UNK13,8,1,,,
2021-05-25,"AC, SA, DC",Minden,4,UNK9,14,5,,,
2021-05-25,"AC, SA, DC",Minden,4,GRASS2,7,5,,,
2021-05-25,"AC, SA, DC",Minden,4,UNK5,43,10,,,
2021-05-25,"AC, SA, DC",Minden,4,MESA,1,2,,,
2021-05-25,"AC, SA, DC",Minden,5,BRTE,1,1,,,
2021-05-25,"AC, SA, DC",Minden,5,UNK5,34,5,,,
2021-05-25,"AC, SA, DC",Minden,5,UNK9,2,1,,,
2021-05-25,"AC, SA, DC",Minden,5,GRASSM1,1,1,,,
2021-05-25,"AC, SA, DC",Minden,5,MESA,1,5,,,
2021-05-25,"AC, SA, DC",Minden,6,GRASS2,1,1,field margin,,
2021-05-25,"AC, SA, DC",Minden,6,COAR4,10,5,field margin,,
2021-05-25,"AC, SA, DC",Minden,6,Atriplex M1,6,5,field margin,,
2021-05-25,"AC, SA, DC",Minden,7,MESA,,100,,,
2021-05-25,"AC, SA, DC",Minden,8,,,,Empty – bare,,
2021-05-25,"AC, SA, DC",Minden,9,,,,bare,,
2021-05-25,"AC, SA, DC",Minden,10,UNK5,2,1,field margin,,
2021-05-25,"AC, SA, DC",Minden,10,MAPA5,1,1,field margin,,
2021-05-25,"AC, SA, DC",Minden,10,UNKM2,2,5,field margin,,
2021-05-25,"AC, SA, DC",Minden,11,,,,bare soil,,
2021-05-25,"AC, SA, DC",Minden,12,,,,building,,
2021-05-25,"AC, SA, DC",Minden,13,,,,bare soil,,
2021-05-25,"AC, SA, DC",Minden,14,,,,bare soil,,
2021-05-25,"AC, SA, DC",Minden,15,GRASSM2,,85,Grass-dominant forage field,,
2021-05-25,"AC, SA, DC",Minden,15,GRASSM3,1,5,Grass-dominant forage field,,
2021-05-25,"AC, SA, DC",Minden,16,,,,blocked gate,,
2021-05-25,"AC, SA, DC",Minden,17,DEPI,1,1,field margin,,
2021-05-25,"AC, SA, DC",Minden,18,BRTE,,60,,,
2021-05-25,"AC, SA, DC",Minden,18,ARDO3,1,5,,,
2021-05-25,"AC, SA, DC",Minden,18,EQAR4,1,1,,,
2021-05-25,"AC, SA, DC",Minden,18,Equisetum sp. 1,,20,,,
2021-05-25,"AC, SA, DC",Minden,18,UNKM4,1,1,,,
2021-05-25,"AC, SA, DC",Minden,19,BRTE,15,5,,,
2021-05-25,"AC, SA, DC",Minden,19,UNK5,5,5,,,
2021-05-25,"AC, SA, DC",Minden,20,BRTE,2,1,in alfalfa field,,
2021-05-25,"AC, SA, DC",Minden,20,MESA,,100,,,
2021-05-25,"AC, SA, DC",Minden,21,,,,bare soil,,
2021-05-25,"AC, SA, DC",Minden,22,MESA,,100,field,,
2021-05-25,"AC, SA, DC",Minden,22,BRTE,1,1,,,
2021-05-25,"AC, SA, DC",Minden,23,MESA,,100,,,
2021-05-25,"AC, SA, DC",Minden,24,SIAL2,2,5,,,
2021-05-25,"AC, SA, DC",Minden,24,ATCA2,1,50,,,
2021-05-25,"AC, SA, DC",Minden,24,BRTE,10,5,field margin,,
2021-05-25,"AC, SA, DC",Minden,24,UNK5,1,1,,,
2021-05-25,"AC, SA, DC",Minden,25,ERCE6,1,1,,,
2021-05-25,"AC, SA, DC",Minden,25,ACHY,1,5,,,
2021-05-25,"AC, SA, DC",Minden,25,BRTE,24,5,by harvester ant mount,,
2021-05-25,"AC, SA, DC",Minden,26,MESA,,100,field,,
2021-05-25,"AC, SA, DC",Minden,27,MESA,,100,field,,
2021-05-25,"AC, SA, DC",Minden,28,ATCA,1,35,,,
2021-05-25,"AC, SA, DC",Minden,28,ARTR2,1,35,,,
2021-05-25,"AC, SA, DC",Minden,29,SATR12,12,5,,,
2021-05-25,"AC, SA, DC",Minden,29,BRTE,45,10,,,
2021-05-25,"AC, SA, DC",Minden,30,Salix M1,1,15,,,
2021-05-25,"AC, SA, DC",Minden,30,ATCA2,1,65,,,
2021-05-25,"AC, SA, DC",Minden,34,GRASSM4,,100,crop grass – rye?,,
2021-05-25,"AC, SA, DC",Minden,35,GRASSM4,,100,crop grass – rye? 30Ft bare road between field and point,,
2021-05-25,"AC, SA, DC",Minden,36,MESA,,100,,,
2021-05-25,"AC, SA, DC",Minden,37,SIAL2,9,10,,,
2021-05-25,"AC, SA, DC",Minden,37,BRTE,15,5,,,
2021-05-25,"AC, SA, DC",Minden,37,AMTE3,1,1,,,
2021-05-25,"AC, SA, DC",Minden,37,ERCI6,2,1,,,
2021-05-25,"AC, SA, DC",Minden,37,SATR12,3,1,,,
2021-05-25,"AC, SA, DC",Minden,38,ATCA2,1,15,,,
2021-05-25,"AC, SA, DC",Minden,38,SIAL2,23,5,,,
2021-05-25,"AC, SA, DC",Minden,38,BRTE,240,1,,,
2021-05-25,"AC, SA, DC",Minden,39,MESA,,100,,,
2021-05-25,"AC, SA, DC",Minden,40,MESA,,100,,,
2021-05-25,"AC, SA, DC",Minden,41,MESA,,100,25ft road in between,,
2021-05-25,"AC, SA, DC",Minden,42,MESA,,100,in field,,
2021-05-25,"AC, SA, DC",Minden,43,,,,bare,,
2021-05-25,"AC, SA, DC",Minden,44,ARTR2,1,10,,,
2021-05-25,"AC, SA, DC",Minden,44,UNK5,23,5,,,
2021-05-25,"AC, SA, DC",Minden,44,UNK8,1,15,,,
2021-05-25,"AC, SA, DC",Minden,44,UNKM5,9,1,,,
2021-05-25,"AC, SA, DC",Minden,44,UNKM2,1,1,,,
2021-05-25,"AC, SA, DC",Minden,45,,,,bare soil (margin),,
2021-05-25,"AC, SA, DC",Minden,46,Crop-unknown grass,,85,,,
2021-05-25,"AC, SA, DC",Minden,46,UNK5,4,1,,,
2021-05-25,"AC, SA, DC",Minden,47,MESA,,100,Field – random,,
2021-05-25,"AC, SA, DC",Minden,48,BRTE,18,5,dead,,
2021-05-25,"AC, SA, DC",Minden,48,DEPI,1,1,,,
2021-05-25,"AC, SA, DC",Minden,48,SIAL2,2,1,,,
2021-05-25,"AC, SA, DC",Minden,49,BRTE,5,1,,,
2021-05-25,"AC, SA, DC",Minden,49,MEAL6,2,1,,,
2021-05-25,"AC, SA, DC",Minden,50,BRTE,31,5,,,
2021-05-25,"AC, SA, DC",Minden,50,DEPI,6,1,,,
2021-05-25,"AC, SA, DC",Minden,50,MEAL6,4,5,,,
2021-05-25,"AC, SA, DC",Minden,51,MESA,,100,,,
2021-05-25,"AC, SA, DC",Minden,52,BRTE,56,1,,,
2021-05-25,"AC, SA, DC",Minden,52,MEAL6,1,1,,,
2021-05-25,"AC, SA, DC",Minden,52,Cryptantha sp.,2,1,,,
2021-05-25,"AC, SA, DC",Minden,52,LL5,1,10,,,
2021-05-25,"AC, SA, DC",Minden,53,MESA,,95,,,
2021-05-25,"AC, SA, DC",Minden,53,GRASSM4,,5,,,
2021-05-25,"AC, SA, DC",Minden,54,GRASSM4,,10,,,
2021-05-25,"AC, SA, DC",Minden,54,MESA,,75,,,
2021-06-12,"AC, SA, BB",Lovelock,1,TRAE,,60,,,
2021-06-12,"AC, SA, BB",Lovelock,2,TRAE,,60,,,
2021-06-12,"AC, SA, BB",Lovelock,3,TRAE,,60,,,
2021-06-12,"AC, SA, BB",Lovelock,4,ACRE3,9,5,,,
2021-06-12,"AC, SA, BB",Lovelock,5,,,,bare soil,,
2021-06-12,"AC, SA, BB",Lovelock,6,,,,bare soil,,
2021-06-12,"AC, SA, BB",Lovelock,7,,,,across river – did not survey,,
2021-06-12,"AC, SA, BB",Lovelock,4ALT,COAR4,1,5,,,
2021-06-12,"AC, SA, BB",Lovelock,4ALT,LFORB2,5,1,,,
2021-06-12,"AC, SA, BB",Lovelock,4ALT,ACRE3,6,5,,,
2021-06-12,"AC, SA, BB",Lovelock,5ALT,ACRE3,15,20,,,
2021-06-12,"AC, SA, BB",Lovelock,5ALT,LFORB2,3,5,,,
2021-06-12,"AC, SA, BB",Lovelock,5ALT,LGRASS1,3,1,,,
2021-06-12,"AC, SA, BB",Lovelock,6ALT,LGRASS1,15,5,,,
2021-06-12,"AC, SA, BB",Lovelock,6ALT,ACRE3,1,1,,,
2021-06-12,"AC, SA, BB",Lovelock,10,LGRASS2,,35,pasture,,
2021-06-12,"AC, SA, BB",Lovelock,8ALT,ALFA,3,10,,,
2021-06-12,"AC, SA, BB",Lovelock,8ALT,ACRE3,8,10,,,
2021-06-12,"AC, SA, BB",Lovelock,8ALT,LFORB2,29,10,,,
2021-06-12,"AC, SA, BB",Lovelock,8ALT,BRTE,4,1,,,
2021-06-12,"AC, SA, BB",Lovelock,9ALT,BRTE,1,1,,,
2021-06-12,"AC, SA, BB",Lovelock,9ALT,COAR4,3,5,,,
2021-06-12,"AC, SA, BB",Lovelock,9ALT,ACRE3,1,1,,,
2021-06-12,"AC, SA, BB",Lovelock,9ALT,LFORB2,2,1,,,
2021-06-12,"AC, SA, BB",Lovelock,9ALT,LGRASS3,296,5,,,
2021-06-12,"AC, SA, BB",Lovelock,9ALT,LFORB3,17,15,,,
2021-06-12,"AC, SA, BB",Lovelock,9ALT,ALFA,2,1,,,
2021-06-12,"AC, SA, BB",Lovelock,11ALT,COAR4,4,10,,,
2021-06-12,"AC, SA, BB",Lovelock,11ALT,LGRASS3,212,5,,,
2021-06-12,"AC, SA, BB",Lovelock,11ALT,ACRE3,2,1,,,
2021-06-12,"AC, SA, BB",Lovelock,11ALT,LFORB2,9,1,,,
2021-06-12,"AC, SA, BB",Lovelock,11ALT,LFORB3,28,10,,,
2021-06-12,"AC, SA, BB",Lovelock,11ALT,ALFA,7,5,,,
2021-06-12,"AC, SA, BB",Lovelock,12,LGRASS2,,40,,,
2021-06-12,"AC, SA, BB",Lovelock,13,ACRE3,10,5,,,
2021-06-12,"AC, SA, BB",Lovelock,13,COAR4,6,1,,,
2021-06-12,"AC, SA, BB",Lovelock,14,ALFA,,100,,,
2021-06-12,"AC, SA, BB",Lovelock,15,ALFA,,95,,,
2021-06-12,"AC, SA, BB",Lovelock,16,LFORB3,7,5,,,
2021-06-12,"AC, SA, BB",Lovelock,16,LFORB2,5,1,,,
2021-06-12,"AC, SA, BB",Lovelock,16,COAR4,4,1,,,
2021-06-12,"AC, SA, BB",Lovelock,16,LGRASS3,24,1,,,
2021-06-12,"AC, SA, BB",Lovelock,17,COAR4,10,1,,,
2021-06-12,"AC, SA, BB",Lovelock,17,LGRASS3,250,5,,,
2021-06-12,"AC, SA, BB",Lovelock,17,ACRE3,2,1,,,
2021-06-12,"AC, SA, BB",Lovelock,17,LFORB3,1,1,,,
2021-06-12,"AC, SA, BB",Lovelock,17,LFORB2,1,1,,,
2021-06-12,"AC, SA, BB",Lovelock,18,COAR4,12,10,,,
2021-06-12,"AC, SA, BB",Lovelock,18,LGRASS3,80,1,,,
2021-06-12,"AC, SA, BB",Lovelock,18,LFORB3,1,1,,,
2021-06-12,"AC, SA, BB",Lovelock,18,ACRE3,2,1,,,
2021-06-12,"AC, SA, BB",Lovelock,19,ALFA,,75,,,
2021-06-12,"AC, SA, BB",Lovelock,20,ACRE3,36,20,,,
2021-06-12,"AC, SA, BB",Lovelock,20,LGRASS1,268,20,,,
2021-06-12,"AC, SA, BB",Lovelock,20,LFORB2,11,1,,,
2021-06-12,"AC, SA, BB",Lovelock,21,SUMO,11,10,,,
2021-06-12,"AC, SA, BB",Lovelock,21,ACRE3,1,1,,,
